Lifetime,Ntargets,Mass,Ixx,Iyy,Izz,SurfaceArea,Altitude,Eccentricity,Nsats,Nplanes,MaxPointing,GResOff,GSD,Wavelength,NPixCrosstrack,NPixVelocity,PixelSize,Nbits,ArealDensity,ADCSConf,Reflectance,MaxSolarAngle,OffsetCPsolar,OffsetCPaero,ResidualDipole,DragCoefficient,RWMarginFactor,ThrusterMomentArm,NumberofRW,NumberofSunSensors,NumberofMagnetometers,NumberofMagneticTorquers,ADCSSpecificImpulse,ULRequiredEbN0,ULEbN0Margin,ImplementationLoss,ULTXPower,ULTXAntennaDiameter,ULTXLineLoss,GroundAntennaMinElevation,ULFrequency,ULDataRate,ULTXAntennaPointingOffset,ULRXAntennaEfficiency,TTCRedundancy,DLRequiredEbN0,DLEbN0Margin,DLFrequency,DLRXAntennaPointingOffset,DLRXAntennaDiameter,DLTXLineLoss,CompressionFactor,NGroundStations,LatGroundStations,LonGroundStations,Inclination,Semimajor,Velocity,VelocityPer,VelocityApo,Period,Density,MeanAngMotion,Rho,Epsilon,Lambda,Range,CoverageWidth,TorqueGravity,TorqueMagnetic,TorqueSolar,TorqueAero,MaxTorque,RWTorque,RWMomentum,RWMaxOmega,MGTorquersDipole,ThrusterForce,ThrusterNpulses,ADCSDelta_V,ADCSDelta_VD,ADCSDelta_VS,ADCDVS_VT,ADCSPropellantMass,MassADCS,PeakPowerADCS,AvgPowerADCS,OffPowerADCS,Aperture,Flength,FOVc,GResNadir,AngleHorizSTK,AngleVertSTK,ImageSize,MassOptics,PeakPowerOptics,AvgPowerOptics,OffPowerOptics,ULRXAntennaDiameter,ULRXAntennaGain,ULRXAntennaBeamwidth,DLDataRate,DLTXPower,DLTXAntennaBeamwidth,DLTXAntennaGain,DLTXAntennaDiameter,MassComm,PeakPowerComm,AvgPowerComm,OffPowerComm,MassPower,SolarArrayPower,SolarArrayArea,MassThermal,PeakPowerThermal,AvgPowerThermal,OffPowerThermal,MassProp,PeakPowerProp,AvgPowerProp,OffPowerProp,MassOBDH,PeakPowerOBDH,AvgPowerOBDH,OffPowerOBDH,Volume,Inertia,MassStruct,Cost,Power,InTheaterAccessDuration,CoverageTime,FinalCoverage,RevisitTimeMax,RevisitTimeMean,ResponseTimeMax,ResponseTimeMean,CommDurationMax,CommDurationMean,CommDurationMin,CommRespTimeMax,CommRespTimeMean,NImagesPerDay,Fields,DataVolume,CommDurationTotal,PowerPower,CostPerImage
2,5,174.0474,90,60,90,3,467,0,4,2,20,1,0.5,5e-07,1000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.027084,0.88302,0.027084,20.0271,48000000,9.8089,28.856,28.856,5.7712,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,71.3622,177.4722,0.84339,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.7405,54.2558,29.0079,308925.1697,79.8034,100.497,,,86400,41856.6945,86400,41856.6945,661.7639,520.1542,99.1126,,,2.0642,,4800000,16644.9332,13.3006,41.0026
2,5,178.4318,90,60,90,3,467,0,4,2,20,1,0.5,5e-07,2000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.054169,0.88302,0.054169,20.0542,192000000,9.8089,33.112,33.112,6.6224,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,75.0158,186.5584,0.88657,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.7843,56.5527,29.7386,309561.7328,83.8891,100.497,,,86400,41856.6456,86400,41856.6456,661.7639,520.1542,99.1126,,,2.0642,,19200000,16644.9332,13.9815,41.0871
2,5,182.8161,90,60,90,3,467,0,4,2,20,1,0.5,5e-07,3000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.64522,10.5773,0.081253,0.88302,0.081253,20.0813,432000000,9.8089,37.368,37.368,7.4736,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,78.6694,195.6446,0.92975,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8282,58.8876,30.4693,310193.6174,87.9749,100.497,,,86400,41670.7157,86400,41670.7157,661.7639,520.1542,99.1126,,,2.0734,,43200000,16644.9332,14.6625,40.988
2,5,182.8014,90,60,90,3,467,0,4,2,25,1,0.5,5e-07,1000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,63.0276,1.9724,519.4472,435.5314,4.2841e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.12442,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,149.7391,31.7078,0.25,0.69363,11.3709,0.025194,0.82139,0.025194,25.0252,48000000,11.336,28.856,28.856,5.7712,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,77.1301,191.8164,0.91156,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.828,58.8798,30.4669,320134.3953,86.2535,100.497,,,86400,33786.6639,86400,33786.6639,661.7639,520.1542,99.1126,,,2.5572,,4800000,16644.9332,14.3756,34.2982
2,5,187.1858,90,60,90,3,467,0,4,2,25,1,0.5,5e-07,2000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,63.0276,1.9724,519.4472,435.5314,4.2841e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.12442,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,149.7391,31.7078,0.25,0.69363,11.3709,0.050388,0.82139,0.050388,25.0504,192000000,11.336,33.112,33.112,6.6224,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,80.7837,200.9026,0.95474,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8719,61.2521,31.1976,320763.6964,90.3393,100.497,,,86400,33710.1142,86400,33710.1142,661.7639,520.1542,99.1126,,,2.563,,19200000,16644.9332,15.0565,34.2877
2,5,191.5701,90,60,90,3,467,0,4,2,25,1,0.5,5e-07,3000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,63.0276,1.9724,519.4472,435.5314,4.2841e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.12442,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,149.7391,31.7078,0.25,0.69363,11.3709,0.075582,0.82139,0.075582,25.0756,432000000,11.336,37.368,37.368,7.4736,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,84.4373,209.9888,0.99792,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9157,63.6619,31.9283,321388.729,94.425,100.497,,,86400,33682.403,86400,33682.403,661.7639,520.1542,99.1126,,,2.5651,,43200000,16644.9332,15.7375,34.3263
2,5,192.436,90,60,90,3,467,0,4,2,30,1,0.5,5e-07,1000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,57.5469,2.4531,545.9945,539.2452,4.8432e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.14931,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,169.6469,35.6894,0.25,0.75965,12.4533,0.023004,0.75,0.023004,30.023,48000000,13.597,28.856,28.856,5.7712,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,82.898,206.1607,0.97973,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9244,64.1422,32.0727,334556.5654,92.7036,100.497,,,51220.7414,26873.0387,51220.7414,26873.0387,661.7639,520.1542,99.1126,,,3.2151,,4800000,16644.9332,15.4506,28.5089
2,5,196.8203,90,60,90,3,467,0,4,2,30,1,0.5,5e-07,2000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,57.5469,2.4531,545.9945,539.2452,4.8432e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.14931,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,169.6469,35.6894,0.25,0.75965,12.4533,0.046008,0.75,0.046008,30.046,192000000,13.597,33.112,33.112,6.6224,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,86.5516,215.2469,1.0229,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.9682,66.5963,32.8034,335179.2331,96.7894,100.497,,,51220.7161,26872.9903,51220.7161,26872.9903,661.7639,520.1542,99.1126,,,3.2151,,19200000,16644.9332,16.1316,28.5619
2,5,201.2046,90,60,90,3,467,0,4,2,30,1,0.5,5e-07,3000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,57.5469,2.4531,545.9945,539.2452,4.8432e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.14931,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,169.6469,35.6894,0.25,0.75965,12.4533,0.069013,0.75,0.069013,30.069,432000000,13.597,37.368,37.368,7.4736,0.064381,0,163.0907,1000000,1.0352,148.2643,0.87927,0.064381,4.1119,4.3171,1.25,0.25,90.2052,224.3331,1.0661,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,2.012,69.087,33.5341,335797.9815,100.8751,100.497,,,51220.69,26867.9282,51220.69,26867.9282,661.7639,520.1542,99.1126,,,3.2157,,43200000,16644.9332,16.8125,28.6092
2,5,128.4466,90,60,90,3,567,0,4,2,20,1,0.5,5e-07,1000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.6583,6945.137,7.5758,7.5758,7.5758,5760.1285,5.3727e-12,0.0010908,66.6875,68.1348,1.8652,606.9852,412.7422,3.4417e-05,4.7523e-05,6.5616e-06,0.00018501,0.00018501,0.067458,0.18839,0.0020932,66.0708,0,0,0,0,0,0,0,18.7239,66.0662,14.9732,0.25,0.78338,12.8423,0.022308,0.88302,0.022308,20.0223,48000000,14.4595,28.856,28.856,5.7712,0.064381,0,163.0907,4622032.483,6.3321,148.2643,0.87927,0.064381,4.1119,21.6536,1.25,0.25,54.7435,135.2362,0.64268,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.2845,32.6992,21.4078,317680.1676,62.2641,122.077,,,86400,36550.4661,86400,36550.4661,739.988,593.9955,198.1619,,,2.3639,,4800000,20031.7244,10.3773,36.8194
