"FOM Properties"
"Average Response Time                "
"Minimum number of assets required: 1 "
"Satisfaction is not enabled          "
"FOM value range check is not enabled."

"Time (UTCG)","FOM Value (sec)"
1 Jul 2007 12:00:00.000,3675.680
1 Jul 2007 12:01:00.000,3615.680
1 Jul 2007 12:02:00.000,3555.680
1 Jul 2007 12:03:00.000,3495.680
1 Jul 2007 12:04:00.000,3435.680
1 Jul 2007 12:05:00.000,3375.680
1 Jul 2007 12:06:00.000,3315.680
1 Jul 2007 12:07:00.000,3255.680
1 Jul 2007 12:08:00.000,3195.680
1 Jul 2007 12:09:00.000,3135.680
1 Jul 2007 12:10:00.000,3075.680
1 Jul 2007 12:11:00.000,3015.680
1 Jul 2007 12:12:00.000,2955.680
1 Jul 2007 12:13:00.000,2895.680
1 Jul 2007 12:14:00.000,2835.680
1 Jul 2007 12:15:00.000,2775.680
1 Jul 2007 12:16:00.000,2715.680
1 Jul 2007 12:17:00.000,2655.680
1 Jul 2007 12:18:00.000,2595.680
1 Jul 2007 12:19:00.000,2535.680
1 Jul 2007 12:20:00.000,2475.680
1 Jul 2007 12:21:00.000,2415.680
1 Jul 2007 12:22:00.000,2355.680
1 Jul 2007 12:23:00.000,2295.680
1 Jul 2007 12:24:00.000,2235.680
1 Jul 2007 12:25:00.000,2175.680
1 Jul 2007 12:26:00.000,2115.680
1 Jul 2007 12:27:00.000,2055.680
1 Jul 2007 12:28:00.000,1995.680
1 Jul 2007 12:29:00.000,1935.680
1 Jul 2007 12:30:00.000,1875.680
1 Jul 2007 12:31:00.000,1815.680
1 Jul 2007 12:32:00.000,1755.680
1 Jul 2007 12:33:00.000,1695.680
1 Jul 2007 12:34:00.000,1635.680
1 Jul 2007 12:35:00.000,1575.680
1 Jul 2007 12:36:00.000,1515.680
1 Jul 2007 12:37:00.000,1455.680
1 Jul 2007 12:38:00.000,1395.680
1 Jul 2007 12:39:00.000,1335.680
1 Jul 2007 12:40:00.000,1275.680
1 Jul 2007 12:41:00.000,1215.680
1 Jul 2007 12:42:00.000,1155.680
1 Jul 2007 12:43:00.000,1095.680
1 Jul 2007 12:44:00.000,1035.680
1 Jul 2007 12:45:00.000,975.680
1 Jul 2007 12:46:00.000,915.680
1 Jul 2007 12:47:00.000,855.680
1 Jul 2007 12:48:00.000,795.680
1 Jul 2007 12:49:00.000,735.680
1 Jul 2007 12:50:00.000,675.680
1 Jul 2007 12:51:00.000,615.680
1 Jul 2007 12:52:00.000,555.680
1 Jul 2007 12:53:00.000,495.680
1 Jul 2007 12:54:00.000,435.680
1 Jul 2007 12:55:00.000,375.680
1 Jul 2007 12:56:00.000,315.680
1 Jul 2007 12:57:00.000,255.680
1 Jul 2007 12:58:00.000,195.680
1 Jul 2007 12:59:00.000,135.680
1 Jul 2007 13:00:00.000,75.680
1 Jul 2007 13:01:00.000,15.680
1 Jul 2007 13:02:00.000,0.000
1 Jul 2007 13:03:00.000,0.000
1 Jul 2007 13:04:00.000,0.000
1 Jul 2007 13:05:00.000,0.000
1 Jul 2007 13:06:00.000,0.000
1 Jul 2007 13:07:00.000,0.000
1 Jul 2007 13:08:00.000,0.000
1 Jul 2007 13:09:00.000,0.000
1 Jul 2007 13:10:00.000,0.000
1 Jul 2007 13:11:00.000,0.000
1 Jul 2007 13:12:00.000,0.000
1 Jul 2007 13:13:00.000,0.000
1 Jul 2007 13:14:00.000,0.000
1 Jul 2007 13:15:00.000,0.000
1 Jul 2007 13:16:00.000,5136.602
1 Jul 2007 13:17:00.000,5076.602
1 Jul 2007 13:18:00.000,5016.602
1 Jul 2007 13:19:00.000,4956.602
1 Jul 2007 13:20:00.000,4896.602
1 Jul 2007 13:21:00.000,4836.602
1 Jul 2007 13:22:00.000,4776.602
1 Jul 2007 13:23:00.000,4716.602
1 Jul 2007 13:24:00.000,4656.602
1 Jul 2007 13:25:00.000,4596.602
1 Jul 2007 13:26:00.000,4536.602
1 Jul 2007 13:27:00.000,4476.602
1 Jul 2007 13:28:00.000,4416.602
1 Jul 2007 13:29:00.000,4356.602
1 Jul 2007 13:30:00.000,4296.602
1 Jul 2007 13:31:00.000,4236.602
1 Jul 2007 13:32:00.000,4176.602
1 Jul 2007 13:33:00.000,4116.602
1 Jul 2007 13:34:00.000,4056.602
1 Jul 2007 13:35:00.000,3996.602
1 Jul 2007 13:36:00.000,3936.602
1 Jul 2007 13:37:00.000,3876.602
1 Jul 2007 13:38:00.000,3816.602
1 Jul 2007 13:39:00.000,3756.602
1 Jul 2007 13:40:00.000,3696.602
1 Jul 2007 13:41:00.000,3636.602
1 Jul 2007 13:42:00.000,3576.602
1 Jul 2007 13:43:00.000,3516.602
1 Jul 2007 13:44:00.000,3456.602
1 Jul 2007 13:45:00.000,3396.602
1 Jul 2007 13:46:00.000,3336.602
1 Jul 2007 13:47:00.000,3276.602
1 Jul 2007 13:48:00.000,3216.602
1 Jul 2007 13:49:00.000,3156.602
1 Jul 2007 13:50:00.000,3096.602
1 Jul 2007 13:51:00.000,3036.602
1 Jul 2007 13:52:00.000,2976.602
1 Jul 2007 13:53:00.000,2916.602
1 Jul 2007 13:54:00.000,2856.602
1 Jul 2007 13:55:00.000,2796.602
1 Jul 2007 13:56:00.000,2736.602
1 Jul 2007 13:57:00.000,2676.602
1 Jul 2007 13:58:00.000,2616.602
1 Jul 2007 13:59:00.000,2556.602
1 Jul 2007 14:00:00.000,2496.602
1 Jul 2007 14:01:00.000,2436.602
1 Jul 2007 14:02:00.000,2376.602
1 Jul 2007 14:03:00.000,2316.602
1 Jul 2007 14:04:00.000,2256.602
1 Jul 2007 14:05:00.000,2196.602
1 Jul 2007 14:06:00.000,2136.602
1 Jul 2007 14:07:00.000,2076.602
1 Jul 2007 14:08:00.000,2016.602
1 Jul 2007 14:09:00.000,1956.602
1 Jul 2007 14:10:00.000,1896.602
1 Jul 2007 14:11:00.000,1836.602
1 Jul 2007 14:12:00.000,1776.602
1 Jul 2007 14:13:00.000,1716.602
1 Jul 2007 14:14:00.000,1656.602
1 Jul 2007 14:15:00.000,1596.602
1 Jul 2007 14:16:00.000,1536.602
1 Jul 2007 14:17:00.000,1476.602
1 Jul 2007 14:18:00.000,1416.602
1 Jul 2007 14:19:00.000,1356.602
1 Jul 2007 14:20:00.000,1296.602
1 Jul 2007 14:21:00.000,1236.602
1 Jul 2007 14:22:00.000,1176.602
1 Jul 2007 14:23:00.000,1116.602
1 Jul 2007 14:24:00.000,1056.602
1 Jul 2007 14:25:00.000,996.602
1 Jul 2007 14:26:00.000,936.602
1 Jul 2007 14:27:00.000,876.602
1 Jul 2007 14:28:00.000,816.602
1 Jul 2007 14:29:00.000,756.602
1 Jul 2007 14:30:00.000,696.602
1 Jul 2007 14:31:00.000,636.602
1 Jul 2007 14:32:00.000,576.602
1 Jul 2007 14:33:00.000,516.602
1 Jul 2007 14:34:00.000,456.602
1 Jul 2007 14:35:00.000,396.602
1 Jul 2007 14:36:00.000,336.602
1 Jul 2007 14:37:00.000,276.602
1 Jul 2007 14:38:00.000,216.602
1 Jul 2007 14:39:00.000,156.602
1 Jul 2007 14:40:00.000,96.602
1 Jul 2007 14:41:00.000,36.602
1 Jul 2007 14:42:00.000,0.000
1 Jul 2007 14:43:00.000,0.000
1 Jul 2007 14:44:00.000,0.000
1 Jul 2007 14:45:00.000,0.000
1 Jul 2007 14:46:00.000,0.000
1 Jul 2007 14:47:00.000,0.000
1 Jul 2007 14:48:00.000,0.000
1 Jul 2007 14:49:00.000,10055.008
1 Jul 2007 14:50:00.000,9995.008
1 Jul 2007 14:51:00.000,9935.008
1 Jul 2007 14:52:00.000,9875.008
1 Jul 2007 14:53:00.000,9815.008
1 Jul 2007 14:54:00.000,9755.008
1 Jul 2007 14:55:00.000,9695.008
1 Jul 2007 14:56:00.000,9635.008
1 Jul 2007 14:57:00.000,9575.008
1 Jul 2007 14:58:00.000,9515.008
1 Jul 2007 14:59:00.000,9455.008
1 Jul 2007 15:00:00.000,9395.008
1 Jul 2007 15:01:00.000,9335.008
1 Jul 2007 15:02:00.000,9275.008
1 Jul 2007 15:03:00.000,9215.008
1 Jul 2007 15:04:00.000,9155.008
1 Jul 2007 15:05:00.000,9095.008
1 Jul 2007 15:06:00.000,9035.008
1 Jul 2007 15:07:00.000,8975.008
1 Jul 2007 15:08:00.000,8915.008
1 Jul 2007 15:09:00.000,8855.008
1 Jul 2007 15:10:00.000,8795.008
1 Jul 2007 15:11:00.000,8735.008
1 Jul 2007 15:12:00.000,8675.008
1 Jul 2007 15:13:00.000,8615.008
1 Jul 2007 15:14:00.000,8555.008
1 Jul 2007 15:15:00.000,8495.008
1 Jul 2007 15:16:00.000,8435.008
1 Jul 2007 15:17:00.000,8375.008
1 Jul 2007 15:18:00.000,8315.008
1 Jul 2007 15:19:00.000,8255.008
1 Jul 2007 15:20:00.000,8195.008
1 Jul 2007 15:21:00.000,8135.008
1 Jul 2007 15:22:00.000,8075.008
1 Jul 2007 15:23:00.000,8015.008
1 Jul 2007 15:24:00.000,7955.008
1 Jul 2007 15:25:00.000,7895.008
1 Jul 2007 15:26:00.000,7835.008
1 Jul 2007 15:27:00.000,7775.008
1 Jul 2007 15:28:00.000,7715.008
1 Jul 2007 15:29:00.000,7655.008
1 Jul 2007 15:30:00.000,7595.008
1 Jul 2007 15:31:00.000,7535.008
1 Jul 2007 15:32:00.000,7475.008
1 Jul 2007 15:33:00.000,7415.008
1 Jul 2007 15:34:00.000,7355.008
1 Jul 2007 15:35:00.000,7295.008
1 Jul 2007 15:36:00.000,7235.008
1 Jul 2007 15:37:00.000,7175.008
1 Jul 2007 15:38:00.000,7115.008
1 Jul 2007 15:39:00.000,7055.008
1 Jul 2007 15:40:00.000,6995.008
1 Jul 2007 15:41:00.000,6935.008
1 Jul 2007 15:42:00.000,6875.008
1 Jul 2007 15:43:00.000,6815.008
1 Jul 2007 15:44:00.000,6755.008
1 Jul 2007 15:45:00.000,6695.008
1 Jul 2007 15:46:00.000,6635.008
1 Jul 2007 15:47:00.000,6575.008
1 Jul 2007 15:48:00.000,6515.008
1 Jul 2007 15:49:00.000,6455.008
1 Jul 2007 15:50:00.000,6395.008
1 Jul 2007 15:51:00.000,6335.008
1 Jul 2007 15:52:00.000,6275.008
1 Jul 2007 15:53:00.000,6215.008
1 Jul 2007 15:54:00.000,6155.008
1 Jul 2007 15:55:00.000,6095.008
1 Jul 2007 15:56:00.000,6035.008
1 Jul 2007 15:57:00.000,5975.008
1 Jul 2007 15:58:00.000,5915.008
1 Jul 2007 15:59:00.000,5855.008
1 Jul 2007 16:00:00.000,5795.008
1 Jul 2007 16:01:00.000,5735.008
1 Jul 2007 16:02:00.000,5675.008
1 Jul 2007 16:03:00.000,5615.008
1 Jul 2007 16:04:00.000,5555.008
1 Jul 2007 16:05:00.000,5495.008
1 Jul 2007 16:06:00.000,5435.008
